activity_id,sub_activity_id,donor,announcement_date,aid_type_general,aid_type_specific,explanation,reporting_currency,measure,source_reported_value,tot_activity_value,tot_activity_value_EUR,tot_activity_value_constant_currency,tot_sub_activity_value,tot_sub_activity_value_EUR,tot_sub_activity_value_constant_currency,tot_sub_activity_value_constant_currency_redistr,tot_sub_activity_value_EUR_redistr,tot_value_deliv_EUR,item,item_type,item_sub_type,item_soviet_origin,item_numb,item_numb_deliv, item_price_USD ,item_value_estimate_USD,item_value_estimate_deliv_USD,official_source_dummy,source_of_aid_1,source_of_aid_2,source_of_aid_3,source_of_aid_4,deliv_official_source_dummy,deliv_source,channel,location,coords,geo_sources,geo_accuracy,building_or_facility,reconstruction_sector,loan_mat,loan_int,loan_gra,updated_dummy,total_value_dummy,month,short_term,earmarked_year,activity_match_deliv,value_source_activity_type,value_source_deliv_type,alloc_no_date,reallocation_sub_activity_id,Working/Debug >>>,before_war,month_exists_dummy,ukraine_asked_dummy,heavy_undisclosed_package,heavy_undisclosed_deliv,ammo_dummy,in_kind_dummy,deliv_more_than_comm,non_eu_nato_dummy,nato_dummy,eu_dummy,eu_geo_dummy,source_of_weapon,dummy_first_row_commitment_check (1=error),dummy_month_check (1=error),allocation_dummy_check (1= error),formula_dummy _check(1=error),reimbursement_value_type,reimbursed_with,deflator,change_currency,inflation_percentage,tot_sub_activity_value_EUR_OLD,notes,procurement_location,procurement_contractor,mixed_package_dummy,year_month,year
AUH1,AUH1_1,Australia,2022-03-01,Humanitarian,Equipment,"Australia has committed immediate humanitarian assistance of an initial 35 million AUD to help meeting the urgent needs of the Ukrainian people. This assistance will deliver lifesaving services and supplies, including the provision of shelter, food, medical care and water.",AUD,Allocation,"35,000,000",35000000.0,23417160.0,21180434.0,35000000.0,23417160.0,21180434.0,21180434.0,23417160.0,,.,.,.,0.0,.,., . ,,,1.0,https://pmtranscripts.pmc.gov.au/release/transcript-43831,https://admin.globalcitizen.org/en/content/australia-aid-ukraine/?edit,.,.,0.0,.,.,,,,,,,,,,0.0,1.0,March,1.0,2022-2023,0.0,Value is given by the source,Value is not given at all,0.0,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,.,0.0,0.0,0.0,0.0,,0.0,0,0.0,0.0,,,111.0,1.038294,107.123076,21596939.0,,,,,2022-03,2022
AUH2,AUH2_1,Australia,2022-03-20,Humanitarian,Equipment,"A shipment of 70,000 tons of thermal coal has been provided. Source of Aid 4 lists the value as 32.6 million AUD. We convert the AUD price to USD for a price value per ton of coal estimation. ",AUD,Allocation,"32,600,000",32600000.0,21811412.0,19728061.0,32600000.0,21811412.0,19728061.0,19728061.0,21811412.0,,ton of coal,Humanitarian,Humanitarian,0.0,70000,undisclosed, 329 ,23030000.0,,1.0,https://www.minister.industry.gov.au/ministers/pitt/media-releases/whitehaven-assist-ukraine-request-provide-energy-security ,https://www.kmu.gov.ua/en/news/70-000-tonn-vugillya-nadast-ukrayini-avstraliya-german-galushchenko ,https://www.abc.net.au/news/rural/2022-03-22/cost-sending-70000-tonnes-of-coal-to-ukraine/100929070 ,https://www.dfat.gov.au/crisis-hub/invasion-ukraine-russia,0.0,.,.,,,,,,,,,,0.0,1.0,March,1.0,2022-2023,0.0,Value is given by the source,Value is not given at all,0.0,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,.,0.0,0.0,0.0,0.0,,0.0,0,0.0,0.0,,,111.0,1.038294,107.123076,20116006.0,,,,,2022-03,2022
AUH3,AUH3_1,Australia,2022-03-20,Humanitarian,Assistance,"The Australian government announced 30 million AUD to Ukraine in emergency humanitarian aid. This aid package is intended to provide emergency help for women, children, elderly and disabled. From the entire package, AUD 10 million are devoted to the World Food Program, which we previously did not consider. Now we report it under. We equally did not consider AUD 8 million to the UN Population fund, which we reported below. Hence, we report the donation value as AUD 12 million. Source of Aid 3 mentions AUD 65 million in humanitarian aid. Since we do not count AUD 18 million in this packet, we arrive at a total of AUD 47 million in humanitarian aid that Australia has provided. ",AUD,Allocation,"12,000,000",12000000.0,8028741.0,7261863.0,12000000.0,8028741.0,7261863.0,7261863.0,8028741.0,,.,.,.,0.0,.,., . ,,,1.0,https://pmtranscripts.pmc.gov.au/release/transcript-43868,https://www.peterdutton.com.au/joint-media-release-australia-to-provide-additional-support-to-ukraine/,https://www.globalcitizen.org/en/content/australia-ukraine-aid-follow-up/,.,0.0,.,.,,,,,,,,,,0.0,1.0,March,1.0,2022-2023,0.0,Value is given by the source,Value is not given at all,0.0,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,.,0.0,0.0,0.0,0.0,,0.0,0,0.0,0.0,,,111.0,1.038294,107.123076,7404665.0,,,,,2022-03,2022
AUH4,AUH4_1,Australia,2022-03-20,Humanitarian,Contribution,"The Australian government announced 30 million AUD to Ukraine in emergency humanitarian aid. This aid package is intended to provide emergency help for women, children, elderly and disabled. From the entire package, AUD 10 million are devoted to the World Food Program, which we report here.",AUD,Allocation,"10,000,000",10000000.0,6690617.0,6051553.0,10000000.0,6690617.0,6051553.0,6051553.0,6690617.0,,.,.,.,0.0,.,., . ,,,1.0,https://pmtranscripts.pmc.gov.au/release/transcript-43868,https://www.peterdutton.com.au/joint-media-release-australia-to-provide-additional-support-to-ukraine/,https://www.globalcitizen.org/en/content/australia-ukraine-aid-follow-up/,.,0.0,.,UN WFP,,,,,,,,,,0.0,1.0,March,1.0,2022-2023,0.0,Value is given by the source,Value is not given at all,0.0,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,.,0.0,0.0,0.0,0.0,,0.0,0,0.0,0.0,,,111.0,1.038294,107.123076,6170554.0,,,,,2022-03,2022
AUH5,AUH5_1,Australia,2022-03-20,Humanitarian,Contribution,"The Australian government announced 30 million AUD to Ukraine in emergency humanitarian aid. This aid package is intended to provide emergency help for women, children, elderly and disabled. We report here the AUD 8 million to the UN Population fund. ",AUD,Allocation,"8,000,000",8000000.0,5352494.0,4841242.0,8000000.0,5352494.0,4841242.0,4841242.0,5352494.0,,.,.,.,0.0,.,., . ,,,1.0,https://pmtranscripts.pmc.gov.au/release/transcript-43868,https://www.peterdutton.com.au/joint-media-release-australia-to-provide-additional-support-to-ukraine/,https://www.globalcitizen.org/en/content/australia-ukraine-aid-follow-up/,.,0.0,.,UNFPA,,,,,,,,,,0.0,1.0,March,1.0,2022-2023,0.0,Value is given by the source,Value is not given at all,0.0,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,.,0.0,0.0,0.0,0.0,,0.0,0,0.0,0.0,,,111.0,1.038294,107.123076,4936443.0,,,,,2022-03,2022
AUH6,AUH6_1,Australia,2022-07-01,Humanitarian,Equipment,"According to the web archive of the ""Crisis Hub"" page on the Australian government website from July 21, 2024 (Source 1), the Australian government has allocated a total of 800,000 AUD to Ukraine's State Nuclear Regulatory Inspectorate through the IAEA to support the safe and secure operation of nuclear facilities. Source of Aid 2 is a report from the Australian Radiation Protection and Nuclear Safety Agency indicating that in July 2022 Australia delivered ""equipment relating to radiation safety through the International Atomic Energy Agency 's (IAEA) Convention on Assistance in the Case of a Nuclear Accident or Radiological Emergency"".",AUD,Allocation,"800,000",800000.0,538486.0,487051.0,800000.0,538486.0,487051.0,487051.0,538486.0,,.,.,.,0.0,.,., . ,,,1.0,https://web.archive.org/web/20240721063053/https://www.dfat.gov.au/crisis-hub/russias-invasion-ukraine,.,.,.,0.0,.,IAEA,,,,,,,,,,0.0,1.0,July,1.0,2022,0.0,Value is given by the source,Value is not given at all,1.0,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,.,0.0,0.0,0.0,0.0,,0.0,0,0.0,0.0,,,111.0,1.038294,107.123076,493644.0,,,,,2022-07,2022
AUH7,AUH7_1,Australia,2022-10-25,Humanitarian,Assistance,"AUD 27 million in additional humanitarian aid that will be provided over the next 5 years. Source of Aid 2 mentions AUD 213 million total additional help, of which AUD 186 million are military aid. We assume the remaining part of AUD 27 million is humintarian aid. ",AUD,Allocation,"27,000,000",27000000.0,17448946.0,15782283.0,27000000.0,17448946.0,15782283.0,15782283.0,17448946.0,,.,.,.,0.0,.,., . ,,,1.0,https://www.minister.defence.gov.au/media-releases/2022-10-27/additional-support-ukraine,https://www.theguardian.com/australia-news/2022/oct/25/defence-spending-october-budget-2022-ukraine-veterans-pacific-aid-increase-albanese-labor-australia-federal-government,.,.,0.0,.,.,,,,,,,,,,0.0,1.0,October,1.0,2022-2023,0.0,Value is given by the source,Value is not given at all,0.0,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,.,0.0,0.0,0.0,0.0,,0.0,0,0.0,0.0,,,111.0,1.038294,107.123076,16660496.0,,,,,2022-10,2022
AUH8,AUH8_1,Australia,2023-06-26,Humanitarian,Contribution,"Of the AUD 110 million announced, AUD 10 million is for Ukraine's Humanitarian Fund, administered by the United Nations Office for the Coordination of Humanitarian Affairs. The fund helps meet shelter, health services, clean water and sanitation needs. Source of Aid 3 indicates the reported contributions to the UN Financial Tracking Services, used for cross-referencing the Australian commitment.",AUD,Allocation,"10,000,000",10000000.0,6189216.0,5637528.0,10000000.0,6189216.0,5637528.0,5637528.0,6189216.0,,.,.,.,0.0,.,., . ,,,1.0,https://www.pm.gov.au/media/australia-pledges-further-support-ukraine,"https://www.minister.defence.gov.au/media-releases/2023-06-26/australia-pledges-further-support-ukraine#:~:text=These%20commitments%20announced%20today%20bring,Ukraine%20can%20count%20on%20Australia.",https://fts.unocha.org/plans/1124/flows?f%5B0%5D=sourceOrganizationIdName%3A4396%3AOffice%20for%20the%20Coordination%20of%20Humanitarian%20Affairs&f%5B1%5D=sourceOrganizationIdName%3A4391%3AAustralia%2C%20Government%20of,.,0.0,.,UNOCHA,,,,,,,,,,0.0,1.0,June,1.0,2022-2023,0.0,Value is given by the source,Value is not given at all,0.0,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,.,0.0,0.0,0.0,0.0,,0.0,0,0.0,0.0,,,110.0,0.966933,114.147538,6170554.0,,,,,2023-06,2023
AUH9,AUH9_1,Australia,2024-05-31,Humanitarian,Contribution,"According to Sources 1 and 2, the Minister of Foreign Affairs announced  AUD 31 million in assistance to Ukraine's energy and humanitarian needs. This package includes AUD 10 million in funding to the United Nations Office for Coordination of Humanitarian Affairs (OCHA) to increase access to essentials such as water, food and shelter in Ukraine. Source of Aid 3 restates this allocation. Source of Aid 4 reports the recorded financial contributions to UNOCHA by the Financial Tracking Services, used to cross-reference this Austrialian donation in 2024, as separate from the 2023.",AUD,Allocation,"10,000,000",10000000.0,6128492.0,5619595.0,10000000.0,6128492.0,5619595.0,5619595.0,6128492.0,,.,.,.,0.0,.,., . ,,,1.0,"https://www.foreignminister.gov.au/minister/penny-wong/media-release/energy-and-humanitarian-assistance-ukraine#:~:text=Australia%20is%20unwavering%20in%20our,%24880%20million%20in%20military%20support. ",https://www.foreignminister.gov.au/minister/penny-wong/transcript/press-conference-adelaide-14,https://ministers.dss.gov.au/media-releases/14991 ,https://fts.unocha.org/donors/4391/flows/2024?f%5B0%5D=destinationOrganizationIdName%3A10108%3AUkraine%20Humanitarian%20Fund,0.0,.,UNOCHA,,,,,,,,,,0.0,1.0,May,1.0,2024,0.0,Value is given by the source,Value is not given at all,0.0,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,.,0.0,0.0,0.0,0.0,,0.0,0,0.0,0.0,,,109.0,0.960502,114.147538,6170554.0,,,,,2024-05,2024
AUH10,AUH10_1,Australia,2024-05-31,Humanitarian,Contribution,"According to Sources 1 and 2, the Minister of Foreign Affairs announced  AUD 31 million in assistance to Ukraine's energy and humanitarian needs. This includes an allocation of AUD 1 million to the United Nations Partnership on the Rights of Persons with Disabilities to improve services for persons with disabilities in Ukraine, including those needing rehabilitation of combatants. Sources 3 and 4 restate this allocation.",AUD,Allocation,"1,000,000",1000000.0,612849.0,561960.0,1000000.0,612849.0,561960.0,561960.0,612849.0,,.,.,.,0.0,.,., . ,,,1.0,"https://www.foreignminister.gov.au/minister/penny-wong/media-release/energy-and-humanitarian-assistance-ukraine#:~:text=Australia%20is%20unwavering%20in%20our,%24880%20million%20in%20military%20support. ",https://www.foreignminister.gov.au/minister/penny-wong/transcript/press-conference-adelaide-14,https://www.dfat.gov.au/crisis-hub/russias-invasion-ukraine,https://www.foreignminister.gov.au/minister/penny-wong/transcript/press-conference-adelaide-14,0.0,.,UNPRPD,,,,,,,,,,0.0,1.0,May,1.0,2024,0.0,Value is given by the source,Value is not given at all,0.0,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,.,0.0,0.0,0.0,0.0,,0.0,0,0.0,0.0,,,109.0,0.960502,114.147538,617055.0,,,,,2024-05,2024
