Area,Fatalities,Time period,Source
Cherkasy Oblast,26,24 Feb 2022 – 31 Dec 2023,Ukrainian authorities
Chernihiv Oblast,725,24 Feb 2022 – 19 Aug 2023,Ukrainian authorities
Dnipropetrovsk Oblast,171,24 Apr 2022 – 15 May 2024,Ukrainian authorities
Donetsk Oblast,"27,958",24 Feb 2022 – 12 Feb 2025,Ukrainian authorities
Kharkiv Oblast,"1,699",24 Feb – 31 Dec 2022,Ukrainian authorities
Kherson Oblast,566,24 Feb 2022 – 30 May 2024,Ukrainian authorities
Khmelnytskyi Oblast,4,24 Feb 2022 – 27 Feb 2023,Ukrainian authorities
Kirovohrad Oblast,9,24 Feb 2022 – 4 Jan 2024,Ukrainian authorities
Kyiv (City),200,24 Feb 2022 – 24 Feb 2024,Ukrainian authorities
Kyiv Oblast,"1,569",24 Feb – 2 Apr 2022,Ukrainian authorities
Luhansk Oblast,815,24 Feb – 31 Dec 2022,Ukrainian authorities
Lviv Oblast,22,18 Apr 2022 – 6 Jul 2023,Ukrainian authorities
Mykolaiv Oblast,413,24 Feb 2022 – 17 Jan 2023,Ukrainian authorities
Odesa Oblast,51,24 Feb 2022 – 2 Mar 2024,Ukrainian authorities
Poltava Oblast,22,27-Jun-22,Ukrainian authorities
Rivne Oblast,25,24 Feb – 23 Jun 2022,Ukrainian authorities
Sumy Oblast,341,24 Feb – 31 Dec 2022,Ukrainian authorities
Vinnytsia Oblast,30,24 Feb 2022 – 14 Mar 2024,Ukrainian authorities
Volyn Oblast,8,24 Feb 2022 – 15 Aug 2023,Ukrainian authorities
Zaporizhzhia Oblast,88,24 Feb 2022 – 18 Oct 2023,Ukrainian authorities
Zhytomyr Oblast,283,24 Feb – 31 Dec 2022,Ukrainian authorities
