Date,Russia_Forecast,Ukraine_Forecast
2025-05-06,20999.613608546704,8411.618176165652
2025-05-07,21013.74477657607,8423.392612592004
2025-05-08,21027.83096267498,8433.20934560691
2025-05-09,21041.90456449264,8444.792045953945
2025-05-10,21055.965897871363,8454.770311973105
2025-05-11,21070.0149763759,8466.194794657535
2025-05-12,21084.051810713787,8476.304262228969
2025-05-13,21098.076411556412,8487.597988182484
2025-05-14,21112.088789565612,8497.813808657142
2025-05-15,21126.08895539393,8508.99927616183
2025-05-16,21140.076919684627,8519.301092725997
2025-05-17,21154.05269307168,8530.396734368125
2025-05-18,21168.01628617981,8540.767870184285
2025-05-19,21181.967709624467,8551.788787691776
2025-05-20,21195.906974011858,8562.215580775708
2025-05-21,21209.83408993894,8573.174147040369
2025-05-22,21223.74906799344,8583.645405353194
2025-05-23,21237.651918753854,8594.551757642848
2025-05-24,21251.54265278946,8605.058312670295
2025-05-25,21265.42128066032,8615.92075669728
2025-05-26,21279.2878129173,8626.455097715454
2025-05-27,21293.142260102068,8637.280438673366
2025-05-28,21306.9846327471,8647.836413117704
2025-05-29,21320.8149413757,8658.630226886251
2025-05-30,21334.633196501993,8669.202794876071
2025-05-31,21348.439408630948,8679.969650208079
2025-06-01,21362.233588258376,8690.554683438613
2025-06-02,21376.015745870936,8701.298323988744
2025-06-03,21389.785891946154,8711.892440971622
2025-06-04,21403.544036952422,8722.615934425043
2025-06-05,21417.29019134901,8733.21636550757
2025-06-06,21431.02436558607,8743.922225754952
2025-06-07,21444.746570104646,8754.526702535937
2025-06-08,21458.456815336685,8765.216989766433
2025-06-09,21472.15511170504,8775.823654499114
2025-06-10,21485.841469623483,8786.500057202427
2025-06-11,21499.515899496706,8797.107388571992
2025-06-12,21513.17841172034,8807.771290719314
2025-06-13,21526.829016680946,8818.378043035476
2025-06-14,21540.46772475604,8829.030579118073
2025-06-15,21554.094546314092,8839.635732498033
2025-06-16,21567.709491714537,8850.277832618107
2025-06-17,21581.312571307775,8860.880552173496
2025-06-18,21594.903795435195,8871.51297898528
2025-06-19,21608.483174429166,8882.1125813857
2025-06-20,21622.050718613053,8892.735960359778
2025-06-21,21635.606438301227,8903.331886439675
2025-06-22,21649.15034379907,8913.946730657306
2025-06-23,21662.682445402977,8924.538522973911
2025-06-24,21676.202753400376,8935.145253439998
2025-06-25,21689.711278069724,8945.732537887463
2025-06-26,21703.208029680525,8956.33150017214
2025-06-27,21716.693018493326,8966.91397091875
2025-06-28,21730.16625475974,8977.505448791148
2025-06-29,21743.62774872244,8988.082855939007
2025-06-30,21757.07751061517,8998.667082536842
2025-07-01,21770.515550662763,9009.239222011951
2025-07-02,21783.941879081132,9019.816388992314
2025-07-03,21797.356506077293,9030.38309426193
2025-07-04,21810.759441849365,9040.953359298148
