week_start,total,nguard,rifle,air,pilot,seaman,marine,tank,art,eng,other,nd,special,vol,mob,signal,airdef,chem,pmc,fsb,groundavia,inmates
"24.02.2022",583,78,117,163,17,5,20,45,20,17,6,44,32,5,0,4,4,4,0,1,1,0
"03.03.2022",646,23,152,151,37,6,46,75,11,4,11,74,24,12,0,2,8,2,2,0,6,0
"10.03.2022",493,15,114,118,5,2,38,51,20,3,6,66,39,4,0,3,3,2,0,1,3,0
"17.03.2022",295,15,84,19,2,6,43,30,7,2,5,44,9,14,0,2,5,1,7,0,0,0
"24.03.2022",406,12,125,46,3,8,34,35,18,5,5,61,7,15,0,2,1,2,25,0,1,1
"31.03.2022",228,4,66,17,3,2,12,14,12,3,4,45,8,19,0,1,1,0,15,0,2,0
"07.04.2022",196,12,47,10,1,23,14,14,3,3,0,30,11,9,0,0,1,1,16,0,0,1
"14.04.2022",234,3,52,47,1,11,17,10,5,3,8,38,8,18,0,0,2,0,10,1,0,0
"21.04.2022",344,11,102,53,4,2,15,12,15,1,9,49,10,45,0,2,3,1,9,0,0,1
"28.04.2022",257,6,71,26,2,2,13,21,6,3,2,26,24,45,0,1,2,1,6,0,0,0
"05.05.2022",333,5,92,27,3,13,23,25,14,6,5,40,23,45,0,2,1,1,6,0,1,1
"12.05.2022",215,5,53,31,2,0,8,10,11,5,2,27,5,41,0,1,5,0,8,0,1,0
"19.05.2022",352,6,59,150,1,2,6,15,6,7,3,47,15,30,0,1,1,0,3,0,0,0
"26.05.2022",286,8,51,58,1,4,21,7,7,1,5,31,20,46,0,1,2,2,13,8,0,0
"02.06.2022",231,2,39,35,1,1,18,12,3,2,4,53,16,42,0,1,0,0,2,0,0,0
"09.06.2022",192,3,29,29,0,5,8,7,7,2,4,31,8,41,0,2,1,0,12,1,0,2
"16.06.2022",226,11,42,16,3,13,11,12,7,0,3,41,15,34,0,2,1,5,5,5,0,0
"23.06.2022",257,8,59,30,6,2,6,12,11,1,19,41,13,37,0,3,0,0,8,0,1,0
"30.06.2022",252,5,39,27,7,3,3,7,10,7,5,45,20,47,0,8,6,0,10,0,3,0
"07.07.2022",245,11,45,26,4,7,5,12,9,1,10,51,15,30,0,6,2,2,6,0,2,1
"14.07.2022",224,37,37,19,1,0,2,14,7,4,5,29,3,42,0,2,2,0,13,0,2,5
"21.07.2022",163,13,18,24,1,4,14,1,6,0,8,30,4,30,0,1,0,0,1,1,1,6
"28.07.2022",107,2,17,21,0,1,1,3,7,0,1,15,7,23,0,0,0,0,1,2,0,6
"04.08.2022",177,5,26,13,1,0,9,5,5,0,2,28,7,41,0,0,5,0,18,0,0,12
"11.08.2022",213,3,30,16,0,4,9,14,6,3,5,39,21,40,0,4,1,0,6,0,2,10
"18.08.2022",182,9,29,18,1,0,5,7,4,0,5,30,3,45,0,4,2,0,11,0,0,9
"25.08.2022",277,16,29,37,1,3,22,4,14,7,7,47,4,43,0,2,2,0,25,0,3,11
"01.09.2022",377,6,61,47,0,4,22,9,23,1,10,72,12,59,0,5,5,1,13,2,1,24
"08.09.2022",347,21,43,32,1,4,14,10,18,0,4,68,4,74,0,4,4,1,21,3,1,20
"15.09.2022",307,11,33,26,2,0,6,8,23,3,4,58,5,53,0,6,2,0,17,2,1,47
"22.09.2022",494,14,85,21,1,5,10,19,22,4,10,103,8,107,7,9,5,1,25,0,1,37
"29.09.2022",559,10,71,39,6,3,12,18,25,1,10,120,15,91,39,5,3,3,15,4,2,67
"06.10.2022",450,9,31,39,2,0,7,18,5,1,8,75,7,77,46,5,0,2,15,4,0,99
"13.10.2022",472,15,38,26,1,0,2,9,9,0,10,71,6,50,78,3,2,0,28,1,0,123
"20.10.2022",563,15,35,20,1,1,2,6,8,2,6,72,3,69,105,0,2,1,33,0,1,181
"27.10.2022",598,3,54,6,4,0,20,8,4,0,5,78,5,86,109,0,1,1,32,0,0,182
"03.11.2022",584,2,38,19,2,2,19,5,13,2,3,70,7,54,128,3,1,0,38,1,0,177
"10.11.2022",565,2,26,16,0,3,10,1,11,1,2,65,6,64,101,3,0,0,33,1,0,220
